World 10 11
beepers 1 2 1
robot 1 2 1 0

wall 2 1 2
wall 3 1 2
wall 4 1 2
wall 5 1 2
wall 2 2 2
wall 3 2 2
wall 4 2 2

wall 5 2 1
wall 5 3 1
wall 5 4 1

wall 4 3 1
wall 4 3 2
wall 3 3 2
wall 2 4 1

wall 5 4 2
wall 4 4 2

wall 3 5 1
wall 3 6 1
wall 2 5 1
wall 2 6 1
wall 2 7 1

wall 3 7 2
wall 4 7 2
wall 5 7 2
wall 6 7 2
wall 4 6 2
wall 5 6 2

wall 5 6 1
wall 5 5 1

wall 5 6 1
wall 6 7 1

wall 6 6 1
wall 6 5 1
wall 6 4 1
wall 6 3 1

wall 6 1 2
wall 7 1 2
wall 8 1 2

//wall 8 2 1
wall 9 2 1
wall 9 2 2
wall 9 1 2
wall 8 3 1
wall 8 4 1

wall 7 2 2

wall 7 3 1
wall 7 4 1
wall 7 5 1

wall 8 5 2
wall 9 4 2

wall 9 5 1
wall 9 6 1
wall 8 6 1

wall 10 6 2
wall 8 6 2

wall 9 7 2
wall 9 9 2
wall 9 8 1
wall 9 9 1
wall 8 9 1
wall 8 8 1

wall 7 7 1
wall 7 8 1
wall 7 9 1
wall 7 9 2

wall 10 7 1
wall 10 8 1
wall 10 9 1
wall 10 10 1

wall 10 10 2
wall 9 10 2
wall 8 10 2
wall 7 10 2

wall 6 10 2
wall 5 10 2
wall 4 10 2
wall 3 10 2
wall 2 10 2


wall 6 8 2
wall 5 8 2
wall 4 8 2
wall 3 8 2
wall 2 8 2

wall 6 9 1

wall 5 10 1
wall 4 9 1
wall 3 10 1
wall 2 9 1
wall 1 10 1

wall 1 9 2

wall 1 8 1

wall 0 9 1
wall 0 8 1
wall 0 7 1
wall 0 6 1
wall 0 5 1
wall 0 4 1
wall 0 3 1
wall 0 2 1
wall 1 1 2

wall 2 7 2
wall 1 6 2
wall 2 5 2
wall 1 4 2
wall 2 3 2

wall 1 3 1
